,Province_State,Date,value
190,New Hampshire,2/9/20,
191,New Jersey,2/9/20,
192,New Mexico,2/9/20,
193,New York,2/9/20,
194,North Carolina,2/9/20,
195,North Dakota,2/9/20,
196,Ohio,2/9/20,
197,Oklahoma,2/9/20,
198,Oregon,2/9/20,
199,Pennsylvania,2/9/20,
200,Rhode Island,2/9/20,
201,South Carolina,2/9/20,
202,South Dakota,2/9/20,
203,Tennessee,2/9/20,
204,Texas,2/9/20,
205,Utah,2/9/20,
206,Vermont,2/9/20,
207,Virginia,2/9/20,
208,Washington,2/9/20,
209,West Virginia,2/9/20,
210,Wisconsin,2/9/20,
211,Wyoming,2/9/20,
212,Alabama,2/10/20,
213,Alaska,2/10/20,
214,Arizona,2/10/20,
215,Arkansas,2/10/20,
216,California,2/10/20,
217,Colorado,2/10/20,
218,Connecticut,2/10/20,
219,Delaware,2/10/20,
220,Diamond Princess,2/10/20,
221,District of Columbia,2/10/20,
222,Florida,2/10/20,
223,Georgia,2/10/20,
224,Grand Princess,2/10/20,
225,Hawaii,2/10/20,
226,Idaho,2/10/20,
227,Illinois,2/10/20,
228,Indiana,2/10/20,
229,Iowa,2/10/20,
230,Kansas,2/10/20,
231,Kentucky,2/10/20,
232,Louisiana,2/10/20,
233,Maine,2/10/20,
234,Maryland,2/10/20,
235,Massachusetts,2/10/20,
236,Michigan,2/10/20,
237,Minnesota,2/10/20,
238,Mississippi,2/10/20,
239,Missouri,2/10/20,
240,Montana,2/10/20,
241,Nebraska,2/10/20,
242,Nevada,2/10/20,
243,New Hampshire,2/10/20,
244,New Jersey,2/10/20,
245,New Mexico,2/10/20,
246,New York,2/10/20,
247,North Carolina,2/10/20,
248,North Dakota,2/10/20,
249,Ohio,2/10/20,
250,Oklahoma,2/10/20,
251,Oregon,2/10/20,
252,Pennsylvania,2/10/20,
253,Rhode Island,2/10/20,
254,South Carolina,2/10/20,
255,South Dakota,2/10/20,
256,Tennessee,2/10/20,
257,Texas,2/10/20,
258,Utah,2/10/20,
259,Vermont,2/10/20,
260,Virginia,2/10/20,
261,Washington,2/10/20,
262,West Virginia,2/10/20,
263,Wisconsin,2/10/20,
264,Wyoming,2/10/20,
265,Alabama,2/11/20,
266,Alaska,2/11/20,
267,Arizona,2/11/20,
268,Arkansas,2/11/20,
269,California,2/11/20,75.0
270,Colorado,2/11/20,
271,Connecticut,2/11/20,
272,Delaware,2/11/20,
273,Diamond Princess,2/11/20,
274,District of Columbia,2/11/20,
275,Florida,2/11/20,
276,Georgia,2/11/20,
277,Grand Princess,2/11/20,
278,Hawaii,2/11/20,
279,Idaho,2/11/20,
280,Illinois,2/11/20,
281,Indiana,2/11/20,
282,Iowa,2/11/20,
283,Kansas,2/11/20,
284,Kentucky,2/11/20,
285,Louisiana,2/11/20,
286,Maine,2/11/20,
287,Maryland,2/11/20,
288,Massachusetts,2/11/20,
289,Michigan,2/11/20,
290,Minnesota,2/11/20,
291,Mississippi,2/11/20,
292,Missouri,2/11/20,
293,Montana,2/11/20,
294,Nebraska,2/11/20,
295,Nevada,2/11/20,
296,New Hampshire,2/11/20,
297,New Jersey,2/11/20,
298,New Mexico,2/11/20,
299,New York,2/11/20,
300,North Carolina,2/11/20,
301,North Dakota,2/11/20,
302,Ohio,2/11/20,
303,Oklahoma,2/11/20,
304,Oregon,2/11/20,
305,Pennsylvania,2/11/20,
306,Rhode Island,2/11/20,
307,South Carolina,2/11/20,
308,South Dakota,2/11/20,
309,Tennessee,2/11/20,
310,Texas,2/11/20,
311,Utah,2/11/20,
312,Vermont,2/11/20,
313,Virginia,2/11/20,
314,Washington,2/11/20,
315,West Virginia,2/11/20,
316,Wisconsin,2/11/20,
317,Wyoming,2/11/20,
318,Alabama,2/12/20,
319,Alaska,2/12/20,
320,Arizona,2/12/20,
321,Arkansas,2/12/20,
322,California,2/12/20,50.0
323,Colorado,2/12/20,
324,Connecticut,2/12/20,
325,Delaware,2/12/20,
326,Diamond Princess,2/12/20,
327,District of Columbia,2/12/20,
328,Florida,2/12/20,
329,Georgia,2/12/20,
330,Grand Princess,2/12/20,
331,Hawaii,2/12/20,
332,Idaho,2/12/20,
333,Illinois,2/12/20,
334,Indiana,2/12/20,
335,Iowa,2/12/20,
336,Kansas,2/12/20,
337,Kentucky,2/12/20,
338,Louisiana,2/12/20,
339,Maine,2/12/20,
340,Maryland,2/12/20,
341,Massachusetts,2/12/20,
342,Michigan,2/12/20,
343,Minnesota,2/12/20,
344,Mississippi,2/12/20,
345,Missouri,2/12/20,
346,Montana,2/12/20,
347,Nebraska,2/12/20,
348,Nevada,2/12/20,
349,New Hampshire,2/12/20,
350,New Jersey,2/12/20,
351,New Mexico,2/12/20,
352,New York,2/12/20,
353,North Carolina,2/12/20,
354,North Dakota,2/12/20,
355,Ohio,2/12/20,
356,Oklahoma,2/12/20,
357,Oregon,2/12/20,
358,Pennsylvania,2/12/20,
359,Rhode Island,2/12/20,
360,South Carolina,2/12/20,
361,South Dakota,2/12/20,
362,Tennessee,2/12/20,
363,Texas,2/12/20,
364,Utah,2/12/20,
365,Vermont,2/12/20,
366,Virginia,2/12/20,
367,Washington,2/12/20,
368,West Virginia,2/12/20,
369,Wisconsin,2/12/20,
370,Wyoming,2/12/20,
371,Alabama,2/13/20,
372,Alaska,2/13/20,
373,Arizona,2/13/20,
374,Arkansas,2/13/20,
375,California,2/13/20,50.0
376,Colorado,2/13/20,
377,Connecticut,2/13/20,
378,Delaware,2/13/20,
379,Diamond Princess,2/13/20,
380,District of Columbia,2/13/20,
381,Florida,2/13/20,
382,Georgia,2/13/20,
383,Grand Princess,2/13/20,
384,Hawaii,2/13/20,
385,Idaho,2/13/20,
386,Illinois,2/13/20,
387,Indiana,2/13/20,
388,Iowa,2/13/20,
389,Kansas,2/13/20,
390,Kentucky,2/13/20,
391,Louisiana,2/13/20,
392,Maine,2/13/20,
393,Maryland,2/13/20,
394,Massachusetts,2/13/20,
395,Michigan,2/13/20,
396,Minnesota,2/13/20,
397,Mississippi,2/13/20,
398,Missouri,2/13/20,
399,Montana,2/13/20,
400,Nebraska,2/13/20,
401,Nevada,2/13/20,
402,New Hampshire,2/13/20,
403,New Jersey,2/13/20,
404,New Mexico,2/13/20,
405,New York,2/13/20,
406,North Carolina,2/13/20,
407,North Dakota,2/13/20,
408,Ohio,2/13/20,
409,Oklahoma,2/13/20,
410,Oregon,2/13/20,
411,Pennsylvania,2/13/20,
412,Rhode Island,2/13/20,
413,South Carolina,2/13/20,
414,South Dakota,2/13/20,
415,Tennessee,2/13/20,
416,Texas,2/13/20,
417,Utah,2/13/20,
