,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
104,MS Zaandam,4/1/20,2,1/22/20,1.0,50.0,70,2020-08-19,141,0.0,2
105,Madagascar,7/16/20,10,6/16/20,3.0,33.0,30,2020-08-19,35,2.0,2
106,Malawi,7/22/20,12,6/21/20,2.0,20.0,31,2020-08-19,29,3.0,3
107,Malaysia,3/29/20,8,3/23/20,1.0,12.0,6,2020-08-19,144,1.0,2
108,Maldives,4/29/20,1,7/5/20,0.0,33.0,-67,2020-08-19,113,1.0,2
109,Mali,6/4/20,6,4/14/20,0.0,1.0,51,2020-08-19,77,1.0,4
110,Malta,5/29/20,2,1/22/20,1.0,50.0,128,2020-08-19,83,1.0,2
111,Mauritania,6/10/20,10,5/26/20,0.0,1.0,15,2020-08-19,71,1.0,4
112,Mauritius,3/31/20,2,1/22/20,1.0,50.0,69,2020-08-19,142,0.0,2
113,Mexico,6/3/20,1092,3/27/20,641.0,59.0,68,2020-08-19,78,1.0,2
114,Moldova,8/13/20,15,4/4/20,7.0,46.0,131,2020-08-19,7,8.0,1
115,Monaco,4/15/20,2,1/22/20,1.0,50.0,84,2020-08-19,127,0.0,2
116,Mongolia,1/22/20,0,1/22/20,1.0,,0,2020-08-19,211,,1
117,Montenegro,7/11/20,4,6/28/20,2.0,45.0,13,2020-08-19,40,1.0,2
118,Morocco,8/18/20,33,3/26/20,22.0,66.0,145,2020-08-19,2,17.0,1
119,Mozambique,8/12/20,2,7/20/20,0.0,13.0,23,2020-08-19,8,11.0,1
120,Namibia,8/13/20,5,8/1/20,2.0,36.0,12,2020-08-19,7,9.0,1
121,Nepal,8/12/20,8,6/5/20,4.0,52.0,68,2020-08-19,8,6.0,1
122,Netherlands,4/7/20,234,3/14/20,3.0,1.0,24,2020-08-19,135,1.0,4
123,New Zealand,4/14/20,4,4/17/20,1.0,25.0,-3,2020-08-19,128,1.0,2
124,Nicaragua,5/26/20,18,5/19/20,1.0,4.0,7,2020-08-19,86,1.0,4
125,Niger,4/17/20,4,4/7/20,1.0,25.0,10,2020-08-19,125,1.0,2
126,Nigeria,6/16/20,31,4/14/20,5.0,16.0,63,2020-08-19,65,1.0,2
127,North Macedonia,7/2/20,15,4/1/20,3.0,20.0,92,2020-08-19,49,2.0,2
128,Norway,4/20/20,16,3/24/20,0.0,2.0,27,2020-08-19,122,1.0,4
129,Oman,8/5/20,67,4/30/20,12.0,18.0,97,2020-08-19,15,5.0,3
130,Pakistan,6/14/20,178,3/26/20,13.0,8.0,80,2020-08-19,67,1.0,4
131,Panama,7/24/20,41,3/28/20,20.0,50.0,118,2020-08-19,27,2.0,2
132,Papua New Guinea,7/20/20,1,1/22/20,0.0,7.0,180,2020-08-19,31,3.0,4
133,Paraguay,8/15/20,19,5/13/20,7.0,37.0,94,2020-08-19,5,13.0,1
134,Peru,8/14/20,4143,3/27/20,443.0,11.0,140,2020-08-19,6,15.0,1
135,Philippines,7/12/20,162,3/15/20,45.0,28.0,119,2020-08-19,39,2.0,2
136,Poland,4/24/20,40,3/25/20,12.0,29.0,30,2020-08-19,118,1.0,2
137,Portugal,4/3/20,37,3/21/20,3.0,8.0,13,2020-08-19,139,1.0,4
138,Qatar,6/19/20,7,5/1/20,1.0,15.0,49,2020-08-19,62,1.0,2
139,Romania,8/13/20,53,3/24/20,42.0,79.0,142,2020-08-19,7,3.0,1
140,Russia,5/29/20,232,3/31/20,108.0,47.0,59,2020-08-19,83,1.0,2
141,Rwanda,8/18/20,2,1/22/20,0.0,17.0,209,2020-08-19,2,42.0,1
142,Saint Kitts and Nevis,1/22/20,0,1/22/20,1.0,,0,2020-08-19,211,,1
143,Saint Lucia,1/22/20,0,1/22/20,1.0,,0,2020-08-19,211,,1
144,Saint Vincent and the Grenadines,1/22/20,0,1/22/20,1.0,,0,2020-08-19,211,,1
