,Province_State,Date,value
205,Utah,1/25/20,0
206,Vermont,1/25/20,0
207,Virginia,1/25/20,0
208,Washington,1/25/20,0
209,West Virginia,1/25/20,0
210,Wisconsin,1/25/20,0
211,Wyoming,1/25/20,0
212,Alabama,1/26/20,0
213,Alaska,1/26/20,0
214,Arizona,1/26/20,0
215,Arkansas,1/26/20,0
216,California,1/26/20,0
217,Colorado,1/26/20,0
218,Connecticut,1/26/20,0
219,Delaware,1/26/20,0
220,Diamond Princess,1/26/20,0
221,District of Columbia,1/26/20,0
222,Florida,1/26/20,0
223,Georgia,1/26/20,0
224,Grand Princess,1/26/20,0
225,Hawaii,1/26/20,0
226,Idaho,1/26/20,0
227,Illinois,1/26/20,0
228,Indiana,1/26/20,0
229,Iowa,1/26/20,0
230,Kansas,1/26/20,0
231,Kentucky,1/26/20,0
232,Louisiana,1/26/20,0
233,Maine,1/26/20,0
234,Maryland,1/26/20,0
235,Massachusetts,1/26/20,0
236,Michigan,1/26/20,0
237,Minnesota,1/26/20,0
238,Mississippi,1/26/20,0
239,Missouri,1/26/20,0
240,Montana,1/26/20,0
241,Nebraska,1/26/20,0
242,Nevada,1/26/20,0
243,New Hampshire,1/26/20,0
244,New Jersey,1/26/20,0
245,New Mexico,1/26/20,0
246,New York,1/26/20,0
247,North Carolina,1/26/20,0
248,North Dakota,1/26/20,0
249,Ohio,1/26/20,0
250,Oklahoma,1/26/20,0
251,Oregon,1/26/20,0
252,Pennsylvania,1/26/20,0
253,Rhode Island,1/26/20,0
254,South Carolina,1/26/20,0
255,South Dakota,1/26/20,0
256,Tennessee,1/26/20,0
257,Texas,1/26/20,0
258,Utah,1/26/20,0
259,Vermont,1/26/20,0
260,Virginia,1/26/20,0
261,Washington,1/26/20,0
262,West Virginia,1/26/20,0
263,Wisconsin,1/26/20,0
264,Wyoming,1/26/20,0
265,Alabama,1/27/20,0
266,Alaska,1/27/20,0
267,Arizona,1/27/20,0
268,Arkansas,1/27/20,0
269,California,1/27/20,0
270,Colorado,1/27/20,0
271,Connecticut,1/27/20,0
272,Delaware,1/27/20,0
273,Diamond Princess,1/27/20,0
274,District of Columbia,1/27/20,0
275,Florida,1/27/20,0
276,Georgia,1/27/20,0
