,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
145,San Marino,4/9/20,54,3/4/20,1.0,2.0,36,2020-08-02,116,1.0,4
146,Sao Tome and Principe,5/5/20,151,4/30/20,9.0,6.0,5,2020-08-02,90,1.0,4
147,Saudi Arabia,6/17/20,4919,3/8/20,2028.0,41.0,101,2020-08-02,47,1.0,2
148,Senegal,5/11/20,177,3/15/20,112.0,63.0,57,2020-08-02,84,0.0,2
149,Serbia,7/26/20,878,3/11/20,380.0,43.0,137,2020-08-02,8,7.0,1
150,Seychelles,6/28/20,50,4/6/20,0.0,1.0,83,2020-08-02,36,3.0,4
151,Sierra Leone,5/24/20,86,4/14/20,9.0,11.0,40,2020-08-02,71,1.0,2
152,Singapore,4/20/20,1426,1/31/20,345.0,24.0,80,2020-08-02,105,1.0,2
153,Slovakia,4/16/20,114,3/12/20,25.0,22.0,35,2020-08-02,109,1.0,2
154,Slovenia,3/27/20,70,3/8/20,16.0,23.0,19,2020-08-02,129,1.0,2
155,Somalia,5/28/20,97,4/8/20,7.0,7.0,50,2020-08-02,67,1.0,4
156,South Africa,7/24/20,13944,3/11/20,10707.0,77.0,135,2020-08-02,10,2.0,1
157,South Sudan,6/7/20,323,4/28/20,16.0,5.0,40,2020-08-02,57,2.0,4
158,Spain,3/25/20,9630,2/26/20,1884.0,20.0,28,2020-08-02,131,1.0,2
159,Sri Lanka,7/10/20,300,3/15/20,8.0,3.0,117,2020-08-02,24,4.0,4
160,Sudan,5/21/20,410,4/5/20,70.0,17.0,46,2020-08-02,74,1.0,2
161,Suriname,8/1/20,110,5/18/20,57.0,51.0,75,2020-08-02,2,24.0,1
162,Sweden,6/29/20,2530,2/29/20,209.0,8.0,121,2020-08-02,35,3.0,4
163,Switzerland,3/23/20,1321,2/29/20,137.0,10.0,23,2020-08-02,133,1.0,2
164,Syria,8/2/20,29,4/2/20,21.0,72.0,122,2020-08-02,1,28.0,1
165,Taiwan*,3/20/20,27,2/4/20,2.0,6.0,45,2020-08-02,136,1.0,4
166,Tajikistan,5/15/20,211,4/30/20,44.0,21.0,15,2020-08-02,80,1.0,2
167,Tanzania,4/29/20,181,3/22/20,1.0,1.0,38,2020-08-02,96,1.0,4
168,Thailand,3/22/20,188,1/28/20,5.0,3.0,54,2020-08-02,134,1.0,4
169,Timor-Leste,4/16/20,10,4/16/20,1.0,10.0,0,2020-08-02,109,1.0,2
170,Togo,5/16/20,35,3/21/20,12.0,36.0,56,2020-08-02,79,1.0,2
171,Trinidad and Tobago,3/21/20,40,3/21/20,3.0,8.0,0,2020-08-02,135,1.0,4
172,Tunisia,3/31/20,82,3/13/20,14.0,17.0,18,2020-08-02,125,1.0,2
173,Turkey,4/11/20,5138,3/16/20,943.0,18.0,26,2020-08-02,114,1.0,2
174,US,7/16/20,77255,2/3/20,63769.0,83.0,164,2020-08-02,18,1.0,2
175,Uganda,5/30/20,84,3/25/20,8.0,10.0,66,2020-08-02,65,1.0,4
176,Ukraine,7/30/20,1222,3/17/20,962.0,79.0,135,2020-08-02,4,5.0,1
177,United Arab Emirates,5/22/20,994,2/22/20,286.0,29.0,90,2020-08-02,73,1.0,2
178,United Kingdom,4/22/20,5505,2/8/20,712.0,13.0,74,2020-08-02,103,1.0,2
179,Uruguay,3/27/20,36,3/16/20,16.0,45.0,11,2020-08-02,129,0.0,2
180,Uzbekistan,7/29/20,886,3/18/20,610.0,69.0,133,2020-08-02,5,6.0,1
181,Venezuela,8/1/20,869,3/16/20,582.0,67.0,138,2020-08-02,2,17.0,1
182,Vietnam,7/30/20,50,2/8/20,16.0,32.0,173,2020-08-02,4,17.0,1
183,West Bank and Gaza,7/4/20,501,3/7/20,273.0,54.0,119,2020-08-02,30,2.0,2
184,Western Sahara,4/5/20,4,1/22/20,1.0,25.0,74,2020-08-02,120,1.0,2
185,Yemen,6/15/20,116,5/4/20,10.0,9.0,42,2020-08-02,49,2.0,4
186,Zambia,7/17/20,915,3/25/20,224.0,25.0,114,2020-08-02,17,4.0,3
187,Zimbabwe,8/1/20,490,4/7/20,163.0,33.0,116,2020-08-02,2,33.0,1
